Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
9/7/13,116.56,122.16,115.5,119.93,9676.997498,1149614.729,118.7987006
9/6/13,122,124.54,115.21,117.67,19391.20825,2335197.857,120.4255984
9/5/13,121.65,127.5,116.07,122.5,19236.8323,2346207.051,121.9643138
9/4/13,129.2,129.94,115.21,122.81,18821.05013,2340303.325,124.3449919
9/3/13,129.4,131,127,129.18,11994.57662,1552522.522,129.4353749
9/2/13,130.65,132,128.52,130.15,8939.399803,1167225.44,130.5708958
9/1/13,127.9,132.09,126.79,130.66,8021.563236,1043482.289,130.0846554
8/31/13,124.86,134.95,124.8,128,19981.34364,2581915.044,129.2162875
8/30/13,118.91,126.14,118.04,124.86,17374.35799,2133543.004,122.7983794
8/29/13,117.91,120,117,118.5,9789.338854,1161548.039,118.6543909
8/28/13,117.74,119.63,117.04,117.91,10195.73119,1208109.805,118.4917277
8/27/13,111.85,118.93,111.76,117.75,18924.73961,2210936.62,116.8278489
8/26/13,113.12,113.3,110.27,111.9,10842.80342,1215561.264,112.1076548
8/25/13,109.15,113.28,109.15,113.12,9343.162734,1042214.419,111.5483534
8/24/13,107.91,110.33,106.64,109.15,4332.68698,470201.7931,108.5242934
8/23/13,109.12,109.9,104.2,107.65,9469.676297,1020971.501,107.8148259
8/22/13,111.52,113.02,107.98,109.12,12231.93172,1361634.165,111.3179992
8/21/13,104.87,114,104.56,110.43,23925.71808,2587111.51,108.130987
8/20/13,102.85,104.88,100.38,104.87,11512.55473,1193373.714,103.6584617
8/19/13,99.32,105.16,99,102.85,20223.50852,2065412.267,102.1292752
8/18/13,99.71,99.99,98.41,99.3,2757.607492,273310.6788,99.11152319
8/17/13,98.26,99.82,97.48,99.71,5533.565841,546813.6009,98.81758284
8/16/13,98.09,99,96.5,98.25,9306.113082,911378.0097,97.93326189
8/15/13,99.19,100.01,96.68,98.08,9533.32415,940033.7234,98.605031
8/14/13,97.75,101,97.03,99.19,17997.71862,1783880.826,99.11705273
8/13/13,95.37,98.19,94.24,98.15,12840.28504,1239041.471,96.4964148
8/12/13,94,96.18,93.31,95.35,7203.733652,679474.9931,94.32261462
8/11/13,93.51,94.58,93.12,94.09,1863.552563,174827.3616,93.81402224
8/10/13,92.72,94.25,92.14,93.51,3115.455059,290393.266,93.21054563
8/9/13,94.26,95.75,90,92.27,12311.24303,1143557.301,92.88723312
8/8/13,97.09,97.14,91.11,94.27,14017.03266,1325286.09,94.54826297
8/7/13,97.7,98.32,95.5,97.09,7127.855552,693217.23,97.25466867
8/6/13,97.88,98.98,97.07,97.69,9248.612095,908586.6182,98.24032069
8/5/13,96.38,98.92,96,97.81,11003.41353,1073769.099,97.58508988
8/4/13,95.54,96.61,95.5,96.38,3019.671299,290561.4797,96.22288351
8/3/13,95.82,97,93.98,95.55,4499.94673,430566.2918,95.68253086
8/2/13,96.63,98.71,93.03,95.85,15553.07297,1501708.346,96.55380315
8/1/13,97.77,98.44,95.15,96.62,7832.160505,760732.0664,97.12927435
7/31/13,96.98,101,95,98.28,17025.38437,1678360.438,98.57988528
7/30/13,93.45,97,92.7,96.57,11695.36757,1104665.032,94.45321196
7/29/13,92.72,93.5,90.54,93.39,10250.8406,950239.3507,92.69867592
7/28/13,88.16,94.01,87.9,92.71,7294.352962,666995.7482,91.44001554
7/27/13,89.97,90.16,87.8,88.16,3489.15397,309697.1372,88.75995151
7/26/13,90.1,91.77,88.56,89.95,6500.584404,587206.3837,90.33132211
7/25/13,88.42,90.66,87.08,90.16,10416.8801,930982.6348,89.37250176
7/24/13,86.88,88.48,85.73,88.42,9276.421101,811057.7225,87.43218033
7/23/13,85.59,88.88,82,86.98,13038.50131,1117223.676,85.68651025
7/22/13,85.73,87.08,83,85.6,8294.018168,714113.8329,86.0998636
7/21/13,85.02,86.99,84.25,85.93,2907.862211,248381.1239,85.41708852
7/20/13,86.51,87.07,84.27,85.04,4451.474868,383279.8226,86.10176041
7/19/13,85,88,83.21,86.51,8689.960752,738754.7621,85.01243943
7/18/13,90.96,91,77,85.28,21446.66607,1768889.17,82.47851507
7/17/13,91.61,92.37,89,90.97,7404.866459,673002.4656,90.88650948
7/16/13,93.76,93.9,89.09,91.55,9285.47355,855968.4718,92.18360994
7/15/13,90.02,95,88.11,93.78,13030.66102,1214281.366,93.18647493
7/14/13,91.67,93,88.87,90.03,5202.941622,477764.6255,91.82586702
7/13/13,90.19,92.04,87.15,91.67,6004.555805,538042.6054,89.60572986
7/12/13,87.81,100,86.6,90.17,32060.82985,2989656.861,93.24951582
7/11/13,86.13,89.96,83.85,87.13,17311.05698,1492886.498,86.2388992
7/10/13,75,86.64,74.81,86.19,27275.18413,2179299.919,79.90046587
7/9/13,74,76.01,70.25,75.01,15908.99991,1169344.195,73.50205555
7/8/13,73.97,76.94,70.1,74.4,18669.578,1384339.335,74.14947113
7/7/13,66.34,73.96,64.5,73.96,6858.522318,469984.4715,68.5256167
7/6/13,67.13,72.88,63,66.34,17245.95828,1159112.183,67.21065681
7/5/13,79.4,79.4,63.26,66.93,32935.36593,2322214.828,70.50824433
7/4/13,77.33,83.9,70.06,79.4,21957.43214,1691620.957,77.04092838
7/3/13,88.04,89.56,75.11,77.01,20740.88553,1710179.169,82.45449151
7/2/13,83.41,88.5,81.9,88,12666.39149,1091461.181,86.16985999
7/1/13,89.41,90.16,80.94,84.5,20854.46869,1784030.164,85.54666101
6/30/13,88.83,90.3,88.01,89.53,2390.674413,213259.2657,89.20464644
6/29/13,89.2,91.61,86.2,88.98,4373.624403,391126.8729,89.42854641
