Date,Open,High,Low,Close,Volume_BTC,Volume_Currency,WeightedPrice
3/2/12,4.9213,4.95,4.51,4.70499,130764.7354,613272.6633,4.689893354
3/1/12,4.86,4.98888,4.86,4.9213,44183.6396,218150.9176,4.937368664
2/29/12,4.86798,4.9,4.8,4.86001,26539.24974,129089.9315,4.864113823
2/28/12,4.95,5,4.735,4.86798,62691.07538,305075.0747,4.86632384
2/27/12,4.922,4.99,4.89,4.95598,29371.63741,145288.7563,4.946566453
2/26/12,4.77303,5.1,4.77303,4.922,70034.60572,347092.7558,4.956017846
2/25/12,5.02879,5.07,4.65,4.77302,86163.59691,420213.0655,4.876921119
2/24/12,5.01499,5.1,4.825,5.0288,89828.04733,446896.9794,4.975027207
2/23/12,4.455,5.19778,4.42,5.015,164308.4668,792557.0834,4.823592471
2/22/12,4.272,4.54,4.27102,4.42474,103836.7861,460671.2895,4.436494107
2/21/12,4.37896,4.3975,4.212,4.272,51784.83126,222970.8136,4.305716716
2/20/12,4.36102,4.47,4.29017,4.36146,37299.13286,162939.7644,4.368459852
2/19/12,4.22201,4.52,4.181,4.38669,62365.41256,271300.4285,4.350174518
2/18/12,4.39175,4.49675,4.12,4.22201,70406.16649,300903.5265,4.273823466
2/17/12,4.24185,4.76998,4.2281,4.41,135949.4118,606244.0821,4.459335824
2/16/12,4.3052,4.444,3.878,4.2739,166594.5168,697818.3694,4.188723511
2/15/12,4.46302,4.88,4.2001,4.3251,161800.5636,741639.351,4.583663583
2/14/12,5.26,5.45126,4.21211,4.46292,297572.0163,1399443.954,4.70287486
2/13/12,5.51468,5.72,5.2,5.26,170210.5877,909500.3227,5.343382775
2/12/12,5.63,5.85,5.43,5.51468,81917.16385,459004.7465,5.603279275
2/11/12,5.90665,6,5.541,5.6005,69711.29406,397688.2933,5.704790001
2/10/12,5.83,5.985,5.80119,5.9126,39304.91384,230967.959,5.876312565
2/9/12,5.59998,5.91502,5.5,5.83,89946.12065,516915.5476,5.746946548
2/8/12,5.69,5.8494,5.3,5.59998,237943.1182,1342007.99,5.640037001
2/7/12,5.48299,5.78,5.45,5.69,72748.35825,408854.2358,5.620116324
2/6/12,5.659,5.72,5.45,5.45345,90258.83723,500693.579,5.547308102
2/5/12,5.87352,5.8848,5.45,5.68881,120336.0189,683010.8631,5.675863879
2/4/12,5.96,5.987,5.84,5.87343,20619.60415,122071.462,5.920165157
2/3/12,6.1,6.1401,5.71872,5.9593,59279.85044,350818.6904,5.918009034
2/2/12,6.0687,6.199,5.823,6.1,54546.26836,328716.5814,6.026380746
2/1/12,5.53423,6.2,5.4678,6.07561,115523.962,672632.5751,5.822450714
1/31/12,5.49096,5.65,5.426,5.48379,48296.65668,267099.3143,5.53038932
